LATITUDE, LONGITUDE,F00,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18
39.95729,-121.96572,11.64900,12.36600,13.56700,12.97800,12.19100,11.58300,10.61400,11.39500,11.14900,12.62100,11.46800,12.68500,13.57900,13.12400,13.81700,13.73200,13.71200,12.30400,12.00700
39.94310,-122.03360,12.16800,12.51000,12.93500,12.59000,11.63400,11.24900,10.65400,10.94800,10.94300,12.11300,12.80100,12.86800,13.13700,13.22800,13.85600,13.03200,12.22800,12.15300,12.31300
39.92888,-122.10146,12.50300,11.82600,12.36100,11.93100,11.88900,10.73100,10.68200,10.53300,10.92200,12.06400,12.45900,12.76500,12.55100,12.88400,12.75000,12.21900,12.00200,11.90300,12.15800
39.89314,-122.27098,11.10900,10.93700,11.09700,10.45000,10.92600,10.74500,10.63000,10.46700,10.58000,11.32400,11.62500,12.10300,14.06800,12.23600,12.28700,11.59600,12.16000,12.06600,12.42200
40.09847,-121.14004,9.75200,8.80500,8.93600,8.59100,9.61600,9.90100,9.47600,7.79900,8.04800,7.42700,8.77300,10.76900,11.47300,11.32500,12.60200,12.11600,11.30700,10.56000,11.66000
39.95247,-121.85463,12.73800,13.68400,13.67100,13.17200,12.39100,12.04300,12.81600,12.67200,12.35300,13.32100,13.84800,13.62500,14.20100,14.88700,14.75400,14.38100,15.03900,14.40600,12.86800
39.93835,-121.92254,12.29000,12.80900,13.75500,12.89700,12.37400,12.01200,11.77500,11.67000,11.33000,12.83500,11.47100,12.74100,14.18500,13.37600,13.72300,14.03800,14.45300,12.07900,11.98800
39.90286,-122.09217,12.36300,11.99500,12.48000,11.79100,11.88700,10.60000,10.49800,10.55200,10.97200,11.87700,12.45900,12.51500,12.51400,12.64400,12.73100,12.15000,11.87700,11.83400,12.19400
39.86714,-122.26164,10.97400,11.04700,10.75400,10.38000,10.73200,10.62600,10.55500,10.28300,10.57200,11.55800,11.41300,12.19900,13.64900,12.09200,12.07300,11.40800,11.74800,11.82800,11.99700
40.06554,-121.16517,8.18600,6.74600,7.62900,7.59700,9.16400,8.69100,7.41900,7.81300,7.54000,5.89400,8.08000,10.47700,10.37500,10.21900,10.42100,10.31200,10.00800,10.34100,10.75100
40.05867,-121.19924,9.19300,8.59300,10.88100,10.44500,10.68300,11.96500,10.43300,9.09100,9.52000,8.57100,10.53100,11.85800,11.22900,11.58400,12.82100,11.32400,11.23300,11.63500,11.62600
40.05180,-121.23331,11.17300,11.95500,15.91800,13.65800,14.11200,13.46400,12.87100,13.08700,13.42400,12.37400,13.50200,14.22800,14.15900,14.24500,14.64400,13.86000,14.02900,13.37200,13.46300
39.92644,-121.84544,12.32100,13.27100,13.37700,12.76500,11.93400,11.38300,12.36400,12.18600,11.75900,12.93100,13.24500,12.91800,13.46600,14.23700,14.41700,13.80600,14.09500,13.82500,12.43600
39.91939,-121.87938,12.06900,13.05900,13.64900,12.71500,12.02800,11.86900,12.37600,11.68200,11.49100,12.96700,11.33300,12.27400,13.64800,13.83500,14.09200,14.10600,14.15300,12.37000,11.90700
39.91232,-121.91332,11.99700,12.62400,13.56800,12.75900,11.99000,11.78700,11.60000,11.44700,11.08600,12.59200,11.27100,12.61600,14.17900,12.93800,13.47500,14.10600,13.72200,12.00400,11.54400
39.87685,-122.08289,11.80900,12.12500,12.49600,11.84700,11.81800,10.47500,10.27300,10.62000,10.97200,11.71900,12.10200,12.31100,12.80700,12.37600,12.64500,12.01900,12.25400,11.65300,12.08800
39.86973,-122.11679,11.92800,12.68700,12.41800,12.33500,11.71500,10.70600,10.42300,10.77700,11.04700,11.61300,12.49600,12.32900,13.07600,12.42200,12.52600,11.90000,11.68700,11.82600,12.26100
39.84114,-122.25230,11.08400,11.04300,11.05500,10.33500,10.38200,10.48700,10.46700,10.17100,10.56100,11.59400,12.13500,12.16400,13.15500,12.13100,11.99100,11.18400,11.41500,11.89800,11.60900
39.83397,-122.28616,10.86700,10.62100,10.78800,10.23000,9.71200,9.78600,10.06900,10.10200,10.07100,11.71400,11.03800,12.29100,12.67500,11.95500,12.06600,12.40200,11.78400,12.13400,11.74000
40.02572,-121.22433,8.24700,9.26800,12.99000,9.83100,11.60200,10.62700,9.73300,8.34200,8.52000,9.07500,9.47300,12.24600,11.27900,12.22800,12.25000,11.56300,12.02300,12.22600,12.60200
40.01884,-121.25838,10.92300,11.88600,12.83100,12.24300,13.20500,12.14600,11.41200,13.10300,11.93900,12.50900,12.01100,13.91000,14.65400,14.56000,15.70400,14.34800,13.73400,13.08800,13.61900
39.90041,-121.83625,11.78400,12.90900,13.18600,12.35300,11.68300,11.23300,11.87900,11.77400,11.27200,12.50600,12.79200,12.69300,13.30400,13.48100,13.65600,12.95200,13.10100,13.03100,11.90700
39.89336,-121.87018,11.67500,12.69000,13.39300,12.35900,11.85300,11.57400,11.97400,11.35800,10.97100,12.65400,11.05100,12.01200,13.22900,13.55400,13.70000,13.21100,12.85300,11.79200,11.34400
39.85084,-122.07362,11.39700,12.03700,12.44600,11.90300,11.70500,10.45000,10.33500,10.63200,10.97200,11.55600,11.54000,12.06800,12.55100,12.11900,12.30700,11.83800,12.06700,11.30900,11.78000
39.84371,-122.10750,11.51300,12.53300,12.42400,12.37900,12.21600,10.69400,10.26100,10.83300,10.99000,11.64400,11.74000,12.23100,12.41100,12.51400,12.36300,11.71900,11.52800,11.48200,11.89300
