LATITUDE, LONGITUDE,F00,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18
39.93835,-121.92254,7.28194,6.93766,7.04967,6.90808,6.74300,7.04152,7.44902,7.85150,8.48850,8.77331,11.15483,4.97647,3.90845,2.94290,5.75103,4.43257,4.02345,7.77194,9.18046
39.90286,-122.09217,13.71944,12.93766,12.54967,13.09558,10.74300,10.54152,10.19902,10.60150,11.67600,11.64831,13.77983,13.91397,13.47095,12.63040,12.25103,11.55757,10.89845,10.27194,9.80546
39.86714,-122.26164,18.40694,17.06266,14.29967,14.03308,13.24300,10.79152,10.76152,10.22650,10.98850,11.64831,15.27983,14.85147,13.72095,12.56790,12.25103,12.05757,11.02345,10.83444,10.74296
40.06554,-121.16517,6.34444,5.62516,6.86217,7.84558,5.80550,6.29152,6.19902,5.72650,4.67600,4.71081,6.59233,9.53897,12.28345,13.13040,12.93853,11.68257,10.52345,10.02194,10.05546
40.05867,-121.19924,7.53194,5.37516,4.42467,4.72058,3.11800,3.47902,2.94902,3.53900,3.30100,3.58581,3.27983,5.78897,9.28345,10.50540,10.56353,9.62007,8.83595,8.27194,7.74296
40.05180,-121.23331,11.71944,9.25016,9.48717,9.90808,10.49300,10.16652,9.94902,9.28900,10.11350,9.96081,9.52983,10.47647,12.97095,13.56790,13.31353,12.24507,11.27345,10.64694,10.36796
39.92644,-121.84544,2.09444,1.31266,3.11217,5.22058,7.68050,5.54152,4.07402,2.35150,3.98850,6.27331,5.52983,4.03897,3.15845,2.63040,3.12603,3.05757,3.39845,2.64694,2.49296
39.91939,-121.87938,4.59444,4.12516,4.04967,3.15808,2.80550,3.16652,4.63652,5.28900,6.17600,7.14831,7.84233,5.66397,3.84595,2.50540,2.50103,1.99507,2.39845,1.58444,1.43046
39.91232,-121.91332,8.28194,8.56266,8.36217,8.34558,7.93050,8.35402,8.88652,8.53900,6.48850,6.71081,10.02983,3.16397,4.09595,2.06790,4.43853,3.37007,2.14845,4.02194,5.61796
39.87685,-122.08289,13.59444,12.93766,12.92467,13.34558,11.05550,10.85402,10.82402,11.22650,11.98850,11.21081,13.77983,13.60147,13.34595,12.50540,12.06353,11.43257,10.89845,10.58444,10.05546
39.86973,-122.11679,16.34444,13.62516,13.11217,14.03308,11.74300,11.16652,11.19902,11.66400,12.42600,11.96081,14.46733,14.16397,13.53345,12.69290,12.06353,11.62007,10.89845,10.70944,10.24296
39.84114,-122.25230,18.21944,17.43766,14.42467,14.28308,13.43050,10.79152,10.69902,10.47650,11.67600,12.14831,15.52983,15.03897,14.03345,12.75540,12.12603,11.99507,11.02345,10.89694,10.93046
39.83397,-122.28616,18.46944,17.31266,14.73717,14.40808,13.68050,10.97902,10.69902,10.53900,11.42600,12.02331,15.90483,15.22647,14.34595,13.13040,12.50103,11.93257,11.33595,11.08444,11.18046
40.02572,-121.22433,8.09444,7.31266,8.04967,8.65808,9.61800,10.10402,10.94902,12.97650,11.73850,10.89831,13.34233,15.35147,15.90845,15.56790,14.75103,13.74507,12.77345,12.33444,12.24296
40.01884,-121.25838,11.59444,10.37516,10.48717,11.34558,11.99300,13.10402,13.01152,12.91400,13.30100,13.14831,12.77983,13.10147,13.78345,13.44290,12.75103,11.68257,10.83595,10.39694,10.68046
39.90041,-121.83625,2.09444,1.56266,1.79967,3.09558,4.05550,2.54152,3.19902,2.28900,1.92600,4.89831,3.15483,4.16397,3.34595,2.13040,2.31353,2.43257,2.71095,2.33444,2.86796
39.89336,-121.87018,5.96944,5.93766,5.29967,3.90808,3.18050,4.47902,5.32402,3.47650,2.30100,3.83581,3.90483,5.41397,4.15845,2.19290,1.62603,1.37007,1.58595,1.64694,2.55546
39.85084,-122.07362,13.53194,13.00016,13.23717,13.34558,11.24300,11.04152,11.19902,11.47650,11.48850,10.14831,12.09233,13.10147,12.78345,12.13040,11.68853,10.99507,10.58595,10.83444,10.24296
39.84371,-122.10750,16.28194,13.43766,13.48717,14.03308,11.61800,11.16652,11.32402,11.72650,12.23850,10.89831,14.09233,13.72647,13.15845,12.50540,11.75103,11.24507,10.64845,10.83444,10.30546
39.80797,-122.27682,18.28194,18.06266,14.86217,14.84558,13.99300,11.04152,10.69902,10.78900,11.98850,12.21081,15.96733,15.16397,14.34595,13.00540,12.37603,11.87007,11.27345,10.95944,11.24296
39.99964,-121.21536,4.03194,5.00016,6.17467,6.78308,7.18050,8.04152,8.82402,10.03900,10.80100,10.33581,13.46733,14.97647,15.90845,16.69290,16.37603,15.80757,15.08595,14.58444,13.61796
39.99277,-121.24940,8.65694,7.93766,9.17467,9.47058,10.18050,10.72902,11.19902,12.60150,13.11350,12.58581,14.27983,16.10147,16.59595,16.75540,15.93853,15.30757,14.64845,14.20944,13.43046
39.98588,-121.28343,10.90694,10.31266,11.67467,12.34558,12.99300,14.10402,14.19902,14.35150,15.17600,15.27331,15.96733,17.10147,17.03345,16.31790,15.12603,14.12007,13.39845,13.08444,12.93046
39.88142,-121.79313,0.84444,0.31266,0.67467,3.03308,3.80550,2.47902,3.38652,2.28900,0.98850,0.83581,1.09233,2.53897,2.72095,2.56790,2.43853,2.49507,3.14845,2.58444,2.24296
39.87438,-121.82706,4.90694,3.56266,2.36217,0.65808,0.49300,0.72902,0.94902,1.85150,0.61350,2.21081,0.84233,3.91397,2.97095,2.13040,1.87603,1.93257,2.39845,2.02194,2.68046
